5
G1 07:00 北京 上海 5 15 2026-09-07 929.5 553.0 1 2 2 2 2 2 济南 南京
24
王建国 110101198803124511 1 2
李慧敏 110105199110223426 1 4
陈志强 110108198507095631 1 6
刘雨欣 110101199205184672 1 7
张伟民 110106198312016748 1 8
韩明轩 310104199108175512 1 10
何俊杰 310110198909144414 1 11
苏婉清 310115199411028815 1 13
黄志远 310109198704067719 1 15
罗世杰 310112199610118820 2 1
林嘉怡 310104199202136617 2 10
白景明 310104198610114447 2 11
龙雨婷 330102199206203348 2 12
万书豪 360102198903154449 3 3
侯梦瑶 430104199507285550 3 9
龚俊驰 510104199211053351 3 10
谢东升 530102198407305552 3 14
邹雪晴 520102199809116653 4 3
唐建国 110102196504195540 4 12
薛淑华 110105196210274441 4 14
贺志明 230103198811075542 5 2
吕德海 52010219650809971X 5 5
赵雨彤 520102198703122462 5 9
万凯文 330102196301247370 5 11
D2206 08:15 上海 武汉 4 10 2026-09-08 620.5 388.5 2 1 2 2 3 苏州 南京 合肥
14
万慧敏 610102199311193006 1 2
黎东升 320102196511047142 1 3
金子航 230103196612175174 1 6
胡杰 36010219700125086X 1 7
石涛 510104198212251962 2 10
钟明辉 230103198901113542 3 5
张书豪 120101196208016423 3 6
韦婉清 320102197011163677 3 7
韦静 230103196708034693 3 10
肖世杰 610102197001029408 4 1
戴敏 120101199607160900 4 3
朱慧敏 120101197606183578 4 5
肖敏 310104197304108500 4 6
郑洋 430104197509092956 4 7
G1371 07:22 上海 昆明 6 15 2026-09-12 1088.0 679.0 2 2 2 2 1 2 4 杭州 南昌 长沙 贵阳
29
谢梦瑶 520102197008057965 1 2
杜逸飞 610102197108025977 1 5
孙东升 610102199110092562 1 7
徐艳 120101196405196206 1 11
高慧敏 430104197301049077 2 3
陈婷婷 530102198908269597 2 11
郑文静 440305198610265699 2 15
陆淑仪 36010219610610860X 3 1
曾静 110101198902117373 3 6
莫敏 110101198407216607 3 10
蒋晨曦 33010219910318663X 3 13
曾明辉 520102199702075378 3 14
汪嘉怡 320102200301263752 4 2
袁平 520102197202112796 4 4
尹浩然 520102197312088104 4 7
付杰 610102198010192471 4 12
赵桂英 230103196603133039 4 13
武书豪 120101196104153451 4 15
田明 330102199208185267 5 2
黄婉清 420106199512253600 5 3
戴刚 110101197507276948 5 6
郑嘉禾 360102199009135156 5 7
黄刚 510104199008090388 5 12
梁艳 310104199601171966 5 13
顾芳 52010219680403650X 6 1
白娟 500103200407045794 6 4
任明 430104197008099746 6 6
姚芳 110101199009168578 6 8
黎军 530102196506113779 6 9
Z281 19:35 北京 哈尔滨 4 10 2026-09-10 386.5 217.0 2 2 2 2 0
13
王德海 510104199904111332 1 9
江淑仪 500103198405109371 1 10
戴淑仪 530102198811214737 2 1
魏婉清 610102196912221762 3 1
林洋 430104197108039570 3 2
汪淑仪 530102200311166191 3 6
孙俊杰 110101196710123962 3 7
江子航 530102199509120589 3 10
付军 120101198504257502 4 2
侯娟 310104197302017787 4 3
秦雪晴 44030519850523562X 4 4
龙伟 430104199512054302 4 8
龙婉清 360102199208269256 4 10
C2015 18:25 北京 天津 3 10 2026-09-06 88.0 54.5 1 2 2 0
16
汤芳 12010120020211077X 1 1
张逸飞 610102197305225465 1 2
曹淑仪 310104196608183269 1 3
向婉清 530102197305104421 1 4
向强 320102198702116071 1 5
高凯文 500103199012212186 2 1
宋俊驰 11010119940716468X 2 2
韦勇 310104198208152841 2 3
李逸飞 230103196012214254 2 5
郑婷婷 360102199710144296 2 6
钱娜 230103196811045572 2 7
侯军 430104198207233820 2 10
徐志强 520102198110101648 3 2
袁洋 500103200008028421 3 4
刘书豪 120101197007121735 3 7
蒋超 420106199311256591 3 9
